IP地址,端口,TLS,数据中心,地区,城市,网络延迟(毫秒),下载速度(MB/s)
8.210.163.4,443,true,HKG,Asia Pacific,Hong Kong,33,12.86
54.255.206.197,443,true,SIN,Asia Pacific,Singapore,65,2.81
138.2.73.208,443,true,SIN,Asia Pacific,Singapore,64,2.39
94.74.99.205,443,true,HKG,Asia Pacific,Hong Kong,34,2.16
43.155.84.120,443,true,HKG,Asia Pacific,Hong Kong,36,1.78
43.155.84.120,443,true,HKG,Asia Pacific,Hong Kong,35,1.74
190.92.220.57,443,true,SIN,Asia Pacific,Singapore,68,1.50
43.129.171.137,443,true,HKG,Asia Pacific,Hong Kong,36,1.11
43.129.171.137,443,true,HKG,Asia Pacific,Hong Kong,35,1.11
47.244.243.150,443,true,HKG,Asia Pacific,Hong Kong,30,1.09
103.118.40.47,443,true,HKG,Asia Pacific,Hong Kong,38,1.07
150.109.11.223,443,true,SIN,Asia Pacific,Singapore,67,1.04
8.222.196.29,443,true,SIN,Asia Pacific,Singapore,68,1.04
47.236.60.3,443,true,SIN,Asia Pacific,Singapore,62,1.04
47.245.95.168,443,true,SIN,Asia Pacific,Singapore,62,1.04
8.222.144.188,443,true,SIN,Asia Pacific,Singapore,62,1.04
8.222.204.249,443,true,SIN,Asia Pacific,Singapore,66,1.04
8.222.195.48,443,true,SIN,Asia Pacific,Singapore,70,1.04
8.219.184.204,443,true,SIN,Asia Pacific,Singapore,64,1.04
8.222.149.78,443,true,SIN,Asia Pacific,Singapore,71,1.04
8.219.147.207,443,true,SIN,Asia Pacific,Singapore,63,1.03
8.219.242.209,443,true,SIN,Asia Pacific,Singapore,65,1.03
8.222.137.153,443,true,SIN,Asia Pacific,Singapore,68,1.03
8.219.165.112,443,true,SIN,Asia Pacific,Singapore,72,1.03
8.222.132.0,443,true,SIN,Asia Pacific,Singapore,63,1.03
8.222.145.165,443,true,SIN,Asia Pacific,Singapore,74,1.03
8.219.141.236,443,true,SIN,Asia Pacific,Singapore,64,1.03
8.219.152.0,443,true,SIN,Asia Pacific,Singapore,66,1.03
8.219.243.230,443,true,SIN,Asia Pacific,Singapore,65,1.03
8.219.160.208,443,true,SIN,Asia Pacific,Singapore,69,1.03
8.222.177.65,443,true,SIN,Asia Pacific,Singapore,69,1.03
8.222.142.161,443,true,SIN,Asia Pacific,Singapore,69,1.03
43.156.116.194,443,true,SIN,Asia Pacific,Singapore,68,1.03
8.219.163.5,443,true,SIN,Asia Pacific,Singapore,61,1.03
8.222.153.89,443,true,SIN,Asia Pacific,Singapore,70,1.03
54.199.222.232,443,true,NRT,Asia Pacific,Tokyo,42,1.03
8.219.207.22,443,true,SIN,Asia Pacific,Singapore,62,1.03
8.219.138.79,443,true,SIN,Asia Pacific,Singapore,63,1.03
8.222.130.190,443,true,SIN,Asia Pacific,Singapore,64,1.03
8.222.191.123,443,true,SIN,Asia Pacific,Singapore,65,1.03
8.222.169.211,443,true,SIN,Asia Pacific,Singapore,69,1.03
54.169.239.201,443,true,SIN,Asia Pacific,Singapore,66,1.03
8.219.248.46,443,true,SIN,Asia Pacific,Singapore,67,1.03
8.222.245.92,443,true,SIN,Asia Pacific,Singapore,64,1.03
129.150.34.80,443,true,SIN,Asia Pacific,Singapore,66,1.03
8.219.169.249,443,true,SIN,Asia Pacific,Singapore,66,1.03
8.222.250.163,443,true,SIN,Asia Pacific,Singapore,77,1.03
43.156.181.203,443,true,SIN,Asia Pacific,Singapore,64,1.03
13.250.131.37,443,true,SIN,Asia Pacific,Singapore,63,1.03
8.219.183.231,443,true,SIN,Asia Pacific,Singapore,63,1.03
8.222.169.19,443,true,SIN,Asia Pacific,Singapore,67,1.03
8.219.150.92,443,true,SIN,Asia Pacific,Singapore,74,1.03
140.245.118.150,443,true,SIN,Asia Pacific,Singapore,66,1.03
47.245.95.168,443,true,SIN,Asia Pacific,Singapore,60,1.03
18.183.158.211,443,true,NRT,Asia Pacific,Tokyo,39,1.03
138.2.64.229,443,true,SIN,Asia Pacific,Singapore,212,1.03
47.245.105.72,443,true,SIN,Asia Pacific,Singapore,64,1.02
8.222.131.8,443,true,SIN,Asia Pacific,Singapore,63,1.02
47.245.82.178,443,true,SIN,Asia Pacific,Singapore,70,1.02
8.219.199.68,443,true,SIN,Asia Pacific,Singapore,69,1.02
13.228.142.218,443,true,SIN,Asia Pacific,Singapore,68,1.02
8.219.223.152,443,true,SIN,Asia Pacific,Singapore,63,1.02
8.222.153.73,443,true,SIN,Asia Pacific,Singapore,64,1.02
13.230.34.30,443,true,NRT,Asia Pacific,Tokyo,38,1.02
8.219.221.33,443,true,SIN,Asia Pacific,Singapore,67,1.02
8.222.158.15,443,true,SIN,Asia Pacific,Singapore,83,1.02
52.76.137.189,443,true,SIN,Asia Pacific,Singapore,72,1.02
8.219.246.244,443,true,SIN,Asia Pacific,Singapore,67,1.02
8.219.135.117,443,true,SIN,Asia Pacific,Singapore,70,1.02
8.219.140.83,443,true,SIN,Asia Pacific,Singapore,68,1.02
8.219.217.22,443,true,SIN,Asia Pacific,Singapore,73,1.02
8.219.245.89,443,true,SIN,Asia Pacific,Singapore,65,1.02
8.219.255.131,443,true,SIN,Asia Pacific,Singapore,68,1.02
47.74.157.194,443,true,SIN,Asia Pacific,Singapore,64,1.02
129.150.53.218,443,true,SIN,Asia Pacific,Singapore,70,1.02
8.219.205.207,443,true,SIN,Asia Pacific,Singapore,64,1.02
13.250.14.76,443,true,SIN,Asia Pacific,Singapore,65,1.02
8.222.128.159,443,true,SIN,Asia Pacific,Singapore,71,1.02
8.219.238.110,443,true,SIN,Asia Pacific,Singapore,73,1.02
8.219.153.237,443,true,SIN,Asia Pacific,Singapore,72,1.02
47.245.122.97,443,true,SIN,Asia Pacific,Singapore,72,1.02
8.219.150.141,443,true,SIN,Asia Pacific,Singapore,60,1.02
8.219.132.36,443,true,SIN,Asia Pacific,Singapore,64,1.01
8.222.167.18,443,true,SIN,Asia Pacific,Singapore,67,1.01
8.222.179.132,443,true,SIN,Asia Pacific,Singapore,71,1.01
8.222.133.242,443,true,SIN,Asia Pacific,Singapore,66,1.01
54.169.161.28,443,true,SIN,Asia Pacific,Singapore,65,1.01
8.219.204.18,443,true,SIN,Asia Pacific,Singapore,60,1.01
35.201.203.106,443,true,TPE,Asia Pacific,Taipei,49,1.00
8.219.197.170,443,true,SIN,Asia Pacific,Singapore,76,1.00
8.222.157.208,443,true,SIN,Asia Pacific,Singapore,63,1.00
54.151.201.171,443,true,SIN,Asia Pacific,Singapore,63,0.99
43.156.253.94,443,true,SIN,Asia Pacific,Singapore,66,0.99
8.222.225.105,443,true,SIN,Asia Pacific,Singapore,68,0.99
15.165.121.25,443,true,ICN,Asia Pacific,Seoul,74,0.98
8.219.158.147,443,true,SIN,Asia Pacific,Singapore,66,0.98
8.222.228.189,443,true,SIN,Asia Pacific,Singapore,68,0.98
8.219.168.227,443,true,SIN,Asia Pacific,Singapore,67,0.98
8.219.161.79,443,true,SIN,Asia Pacific,Singapore,68,0.95
8.219.171.247,443,true,SIN,Asia Pacific,Singapore,72,0.94
43.156.153.48,443,true,SIN,Asia Pacific,Singapore,64,0.94
4.230.8.95,443,true,ICN,Asia Pacific,Seoul,104,0.94
52.141.25.42,443,true,ICN,Asia Pacific,Seoul,99,0.94
103.232.213.34,443,true,NRT,Asia Pacific,Tokyo,39,0.94
8.222.219.186,443,true,SIN,Asia Pacific,Singapore,72,0.94
8.219.248.255,443,true,SIN,Asia Pacific,Singapore,67,0.94
35.201.203.106,443,true,TPE,Asia Pacific,Taipei,51,0.92
47.245.105.33,443,true,SIN,Asia Pacific,Singapore,67,0.92
43.156.181.203,443,true,SIN,Asia Pacific,Singapore,63,0.92
54.248.121.219,443,true,NRT,Asia Pacific,Tokyo,40,0.89
8.219.174.11,443,true,SIN,Asia Pacific,Singapore,72,0.88
