IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
8.219.220.46,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,237,3.52
8.222.183.22,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,256,3.5
8.219.121.202,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,185,3.46
8.219.197.251,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,311,3.43
8.222.162.103,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,263,3.4
8.222.225.113,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,239,3.39
8.222.128.248,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,201,3.38
8.222.252.136,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,246,3.36
8.222.128.248,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,237,3.35
8.219.136.158,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,227,3.33
8.219.247.250,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,229,3.32
8.222.209.32,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,235,3.31
8.222.218.6,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,182,3.31
8.222.192.89,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,253,3.29
8.219.75.135,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,302,3.22
8.219.254.70,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,227,3.22
8.219.153.233,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,366,3.21
8.219.140.54,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,219,3.19
8.222.182.118,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,225,3.19
8.219.193.119,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,213,3.19
8.222.181.187,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,262,3.19
8.219.116.93,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,295,3.18
8.219.178.234,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,131,3.17
8.219.236.150,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,300,3.13
8.219.92.147,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,344,3.07
8.219.136.158,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,241,3.05
47.245.120.106,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,200,3.05
8.219.162.108,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,254,3.04
47.236.41.221,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,256,2.93
8.219.142.205,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,294,2.93
8.222.192.89,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,268,2.92
8.219.197.251,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,211,2.89
8.222.129.118,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,240,2.87
47.245.94.82,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,295,2.86
8.222.169.249,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,239,2.85
8.219.140.227,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,195,2.83
8.219.242.214,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,223,2.81
8.219.112.112,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,308,2.7
47.90.141.204,443,443,TRUE,LAX,North America,US,Los Angeles,370,2.7
8.222.158.140,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,256,2.7
8.222.176.204,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,186,2.69
8.219.76.182,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,188,2.69
8.222.171.126,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,212,2.67
8.222.165.89,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,247,2.62
8.219.248.32,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,75,2.61
8.222.235.179,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,211,2.6
8.219.207.131,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,320,2.59
8.222.154.196,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,276,2.57
8.219.91.194,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,297,2.57
8.222.225.113,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,216,2.53
8.219.116.93,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,292,2.43
8.219.231.62,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,179,2.38
8.219.67.224,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,328,2.38
8.219.161.216,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,262,2.36
8.222.203.18,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,299,2.32
8.219.68.219,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,273,2.29
8.219.121.202,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,224,2.24
8.219.249.121,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,215,2.2
8.219.166.189,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,239,2.2
8.219.255.165,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,210,2.07
8.222.151.235,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,228,2.05
8.222.171.204,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,248,2
8.222.176.204,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,261,1.99
8.222.133.159,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,229,1.97
8.219.11.96,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,224,1.96
47.76.218.163,443,443,TRUE,HKG,Asia Pacific,HK,Hong Kong,202,1.88
8.219.134.42,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,288,1.87
8.222.129.118,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,233,1.84
8.222.205.37,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,233,1.8
8.219.120.122,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,311,1.68
8.219.94.114,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,408,1.59
47.236.106.223,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,191,1.57
8.219.166.189,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,272,1.49
47.236.79.131,8443,443,TRUE,SIN,Asia Pacific,SG,Singapore,254,1.41
47.236.79.131,8443,443,TRUE,SIN,Asia Pacific,SG,Singapore,278,1.4
8.219.1.169,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,295,1.39
8.219.192.235,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,370,1.33
8.219.199.130,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,235,1.25
8.222.233.135,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,225,1.24
8.219.139.35,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,284,1.21
8.219.134.42,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,234,1.15
8.209.217.106,443,443,TRUE,NRT,Asia Pacific,JP,Tokyo,109,1.15
8.222.165.89,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,225,1.12
8.219.155.145,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,235,1.05
47.57.13.107,443,443,TRUE,HKG,Asia Pacific,HK,Hong Kong,233,1.01
47.57.13.107,443,443,TRUE,HKG,Asia Pacific,HK,Hong Kong,321,0.99
8.219.56.173,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,239,0.97
