IP地址,端口,TLS,数据中心,地区,城市,网络延迟(毫秒),下载速度(MB/s)
8.210.163.4,443,true,HKG,Asia Pacific,Hong Kong,30,12.86
54.255.206.197,443,true,SIN,Asia Pacific,Singapore,70,4.27
52.76.173.151,443,true,SIN,Asia Pacific,Singapore,64,2.87
94.74.99.205,443,true,HKG,Asia Pacific,Hong Kong,37,2.23
138.2.73.208,443,true,SIN,Asia Pacific,Singapore,65,2.14
38.207.175.28,443,true,HKG,Asia Pacific,Hong Kong,42,1.96
43.155.84.120,443,true,HKG,Asia Pacific,Hong Kong,31,1.72
190.92.220.57,443,true,SIN,Asia Pacific,Singapore,63,1.62
47.83.203.243,443,true,HKG,Asia Pacific,Hong Kong,32,1.18
47.244.243.150,443,true,HKG,Asia Pacific,Hong Kong,29,1.10
47.76.201.47,443,true,HKG,Asia Pacific,Hong Kong,33,1.10
8.217.128.238,443,true,HKG,Asia Pacific,Hong Kong,32,1.10
103.232.213.34,443,true,NRT,Asia Pacific,Tokyo,37,1.04
38.47.109.133,443,true,NRT,Asia Pacific,Tokyo,37,1.04
8.222.232.163,443,true,SIN,Asia Pacific,Singapore,68,1.04
8.219.212.162,443,true,SIN,Asia Pacific,Singapore,64,1.04
13.230.34.30,443,true,NRT,Asia Pacific,Tokyo,38,1.04
138.2.64.229,443,true,SIN,Asia Pacific,Singapore,64,1.04
202.144.192.76,443,true,NRT,Asia Pacific,Tokyo,40,1.03
8.222.246.11,443,true,SIN,Asia Pacific,Singapore,62,1.03
8.222.252.250,443,true,SIN,Asia Pacific,Singapore,64,1.03
8.219.205.218,443,true,SIN,Asia Pacific,Singapore,67,1.03
54.199.222.232,443,true,NRT,Asia Pacific,Tokyo,40,1.03
8.222.181.228,443,true,SIN,Asia Pacific,Singapore,64,1.03
52.76.137.189,443,true,SIN,Asia Pacific,Singapore,64,1.03
8.219.188.123,443,true,SIN,Asia Pacific,Singapore,61,1.03
8.222.226.39,443,true,SIN,Asia Pacific,Singapore,69,1.03
43.156.153.48,443,true,SIN,Asia Pacific,Singapore,67,1.03
8.222.170.65,443,true,SIN,Asia Pacific,Singapore,69,1.03
8.219.194.187,443,true,SIN,Asia Pacific,Singapore,64,1.03
47.245.116.156,443,true,SIN,Asia Pacific,Singapore,60,1.03
8.222.128.84,443,true,SIN,Asia Pacific,Singapore,75,1.03
8.219.138.226,443,true,SIN,Asia Pacific,Singapore,60,1.03
8.222.173.45,443,true,SIN,Asia Pacific,Singapore,65,1.03
8.222.189.167,443,true,SIN,Asia Pacific,Singapore,64,1.03
8.222.167.198,443,true,SIN,Asia Pacific,Singapore,70,1.03
8.219.150.82,443,true,SIN,Asia Pacific,Singapore,63,1.03
8.222.208.136,443,true,SIN,Asia Pacific,Singapore,516,1.03
54.169.239.201,443,true,SIN,Asia Pacific,Singapore,56,1.02
150.109.11.223,443,true,SIN,Asia Pacific,Singapore,72,1.02
8.222.213.181,443,true,SIN,Asia Pacific,Singapore,1051,1.02
8.219.155.209,443,true,SIN,Asia Pacific,Singapore,67,1.02
139.180.154.158,443,true,SIN,Asia Pacific,Singapore,67,1.02
8.222.128.101,443,true,SIN,Asia Pacific,Singapore,83,1.02
47.245.89.141,443,true,SIN,Asia Pacific,Singapore,68,1.02
8.219.1.72,443,true,SIN,Asia Pacific,Singapore,69,1.02
