IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
143.47.229.122,443,443,TRUE,FRA,Europe,Frankfurt,15,9.98
141.148.238.134,443,443,TRUE,FRA,Europe,Frankfurt,20,9.97
140.238.120.138,443,443,TRUE,FRA,Europe,Frankfurt,40,9.97
141.148.232.237,443,443,TRUE,FRA,Europe,Frankfurt,64,9.96
143.47.181.59,443,443,TRUE,FRA,Europe,Frankfurt,66,9.93
141.147.26.26,443,443,TRUE,FRA,Europe,Frankfurt,66,9.93
158.101.206.233,443,443,TRUE,FRA,Europe,Frankfurt,66,9.88
141.148.228.13,443,443,TRUE,FRA,Europe,Frankfurt,70,9.86
152.70.54.67,443,443,TRUE,FRA,Europe,Frankfurt,71,9.86
141.147.70.113,443,443,TRUE,FRA,Europe,Frankfurt,74,9.82
143.47.177.174,443,443,TRUE,FRA,Europe,Frankfurt,75,9.81
130.162.38.30,443,443,TRUE,FRA,Europe,Frankfurt,75,9.79
138.3.254.39,443,443,TRUE,FRA,Europe,Frankfurt,77,9.76
132.226.213.25,443,443,TRUE,FRA,Europe,Frankfurt,77,9.74
132.226.133.87,443,443,TRUE,FRA,Europe,Frankfurt,79,9.7
143.47.255.201,443,443,TRUE,FRA,Europe,Frankfurt,80,9.66
141.147.106.128,443,443,TRUE,FRA,Europe,Frankfurt,81,9.63
130.162.187.98,443,443,TRUE,FRA,Europe,Frankfurt,81,9.62
84.235.173.86,443,443,TRUE,FRA,Europe,Frankfurt,81,9.59
158.178.154.205,443,443,TRUE,FRA,Europe,Frankfurt,82,9.58
141.144.200.65,443,443,TRUE,FRA,Europe,Frankfurt,82,9.57
130.162.166.198,443,443,TRUE,FRA,Europe,Frankfurt,82,9.56
129.154.214.24,443,443,TRUE,SIN,Asia Pacific,Singapore,82,9.49
144.24.85.158,443,443,TRUE,ICN,Asia Pacific,Seoul,83,9.46
158.101.203.210,443,443,TRUE,FRA,Europe,Frankfurt,83,9.39
143.47.177.144,443,443,TRUE,FRA,Europe,Frankfurt,83,9.39
141.148.230.184,443,443,TRUE,FRA,Europe,Frankfurt,85,9.38
152.70.39.224,443,443,TRUE,SIN,Asia Pacific,Singapore,86,9.33
146.56.132.191,443,443,TRUE,SIN,Asia Pacific,Singapore,86,9.33
132.226.192.7,443,443,TRUE,FRA,Europe,Frankfurt,91,9.32
152.70.51.209,443,443,TRUE,FRA,Europe,Frankfurt,92,9.27
141.147.61.116,2053,443,TRUE,FRA,Europe,Frankfurt,92,9.24
129.154.216.86,443,443,TRUE,SIN,Asia Pacific,Singapore,93,9.2
141.148.233.38,443,443,TRUE,FRA,Europe,Frankfurt,93,9.2
152.70.52.215,443,443,TRUE,AMS,Europe,Amsterdam,93,9.17
141.144.201.245,443,443,TRUE,FRA,Europe,Frankfurt,94,9.15
158.179.206.143,443,443,TRUE,ARN,Europe,Stockholm,98,9.15
141.147.106.105,443,443,TRUE,FRA,Europe,Frankfurt,100,9.1
